ConstituentID,AlphaSort,DisplayName,BeginDate,EndDate,DisplayDate,Code,Nationality
18238,North Light Editions,North Light Editions,0,0,,Candidate,
18241,Lonetown Press,Lonetown Press,0,0,,Candidate,
18243,Chip Elwell Fine Prints,Chip Elwell Fine Prints,0,0,,Candidate,
18300,Bill Graham Presents,Bill Graham Presents,1965,2165,,Provisional,American
18436,Creative Works Editions,Creative Works Editions,0,0,,Candidate,
18437,"Harlan & Weaver, Inc.","Harlan & Weaver, Inc.",1984,2184,founded New York City 1984,Verified,American
18482,Illman & Pilbrow,Illman & Pilbrow,1829,1836,active New York City ca. 1829 -1836,Verified,American
26532,Boris Color Laboratory,Boris Color Laboratory,0,0,,Provisional,American
26817,Pacific Mail Steamship Company,Pacific Mail Steamship Company,0,0,,Candidate,
27217,Brand X Editions,Brand X Editions,1899,2099,active New York City late 20th century-early 21st century,Provisional,American
27239,Oxford University Press,Oxford University Press,1668,2068,founded 1668,Verified,English
27299,Cellini Bronze Works,Cellini Bronze Works,0,0,,Candidate,
27317,"Hildreth, Young & Co.","Hildreth, Young & Co.",1865,1885,active ca. 1870-1880,Provisional,
27375,Reed and Barton,Reed and Barton,0,0,,Candidate,American
27429,Bertrand & Simon,Bertrand & Simon,0,0,n.d.,Provisional,European
27656,Acorn Press,Acorn Press,0,0,,Candidate,American
27667,Art Students League,Art Students League,0,0,,Candidate,
27696,U.S. Mint,U.S. Mint,0,0,,Candidate,American
27794,Dempsey & O'Toole,Dempsey & O'Toole,1860,1877,"active Washington, DC ca. 1860-ca. 1877",Provisional,American
27958,Priessmann Bauer & Co.,Priessmann Bauer & Co.,0,0,,Provisional,German
28021,Hines Portrait Company,Hines Portrait Company,1800,1899,"active Chicago, IL 19th century",Provisional,
28051,Museum Folkwang,Museum Folkwang,1922,2122,founded 1922,Verified,German
28098,F. & G. W. Smith,F. & G. W. Smith,1755,1955,n.d.,Provisional,American
28123,"KMF, Inc.","KMF, Inc.",0,0,,Verified,American
28135,Jaboeuf et Rouard Fondeurs,Jaboeuf et Rouard Fondeurs,1902,1917,"founded Paris, France 1902-closed 1917",Verified,French
28137,Yama Prints,Yama Prints,1987,2187,founded 1987,Candidate,American
28178,Society of Medallic Arts,Society of Medallic Arts,0,0,,Candidate,American
28335,Albert Coles & Co.,Albert Coles & Co.,1835,1877,active New York City 1835-1877,Verified,American
28343,Finlay Brothers,Finlay Brothers,0,0,,Candidate,American
28482,Davidson and Sons,Davidson and Sons,0,0,,Candidate,American
28483,National Sculpture Society,National Sculpture Society,0,0,,Candidate,American
28586,Royal Doulton Company,Royal Doulton Company,0,0,,Candidate,English
28587,Wedgewood Pottery,Wedgewood Pottery,0,0,,Candidate,English
28588,Moser Glassworks,Moser Glassworks,0,0,,Candidate,Czechoslovakian
28763,Polich Art Works,Polich Art Works,0,0,,Candidate,American
28769,Garner Tullis Workshop,Garner Tullis Workshop,1987,2187,founded New York City 1987,Verified,American
28770,Galerie Bernd KlÙser,Galerie Bernd KlÙser,1978,2078,"founded Munich, Germany 1978",Candidate,German
28772,Edicions T,Edicions T,1994,2194,"founded Barcelona, Spain 1994",Verified,Spanish
28773,Alexander and Bonin,Alexander and Bonin,1995,2095,founded New York City 1995,Verified,American
28774,Burnet Editions,Burnet Editions,0,0,active New York City,Provisional,American
28775,Peter Kruty Editions,Peter Kruty Editions,1995,2195,founded New York City 1995,Verified,American
28776,Woolworth Editions,Woolworth Editions,1904,2104,"active Paris, France",Provisional,
28780,Galeria Carles Tach_,Galeria Carles Tach_,1986,2086,"founded Barcelona, Spain 1986",Verified,Spanish
28786,The Limited Editions Club,The Limited Editions Club,1929,2129,"founded New York, NY 1929",Verified,American
28810,The Mezzanine Gallery of The Metropolitan Museum of Art,The Mezzanine Gallery of The Metropolitan Museum of Art,0,0,active New York City,Provisional,American
28838,Alexis Rudier Fondeur,Alexis Rudier Fondeur,1874,1952,"founded Paris, France 1874-closed 1952",Verified,French
28839,Claude Valsuani,Claude Valsuani,1908,1981,"founded Paris, France 1908-closed 1981",Verified,French
28840,Kunstsammlung Nordrhein-Westfalen,Kunstsammlung Nordrhein-Westfalen,1961,2161,"founded Dusseldorf, Germany 1961",Verified,German
28843,Doctors of the World,Doctors of the World,1990,2090,founded New York City 1990,Verified,American
28907,Editions Press,Editions Press,0,0,,Candidate,
28929,Tea Lautrec Litho,Tea Lautrec Litho,1967,1994,founded 1967-closed 1994,Verified,American
28952,Ant Farm,Ant Farm,1968,1978,"founded San Francisco, CA 1968-closed 1978",Verified,American
29116,Family Dog Productions,Family Dog Productions,0,0,,Candidate,
29172,Center for Contemporary Printmaking,Center for Contemporary Printmaking,0,0,,Candidate,
29176,"First Bank, Minneapolis","First Bank, Minneapolis",0,0,,Candidate,
29178,Vermillion Editions Limited,Vermillion Editions Limited,0,0,,Candidate,
29186,"American Center, Paris","American Center, Paris",0,0,,Candidate,
29201,"Untitled Press, Inc.","Untitled Press, Inc.",0,0,,Candidate,
29279,Tim Rollins and K.O.S.,Tim Rollins and K.O.S.,1982,2082,founded New York City 1982,Verified,American
29312,"LeRoy Neiman Center for Print Studies, Columbia University","LeRoy Neiman Center for Print Studies, Columbia University",0,0,,Candidate,
29345,Anderson Ranch,Anderson Ranch,0,0,,Candidate,American
29346,Lawrence Litho Workshop,Lawrence Litho Workshop,0,0,,Candidate,
29348,Teaberry Press,Teaberry Press,0,0,,Candidate,
29351,"University of Illinois, Champaign","University of Illinois, Champaign",0,0,,Candidate,
29358,The Arion Press,The Arion Press,0,0,,Candidate,
29397,"Lois Wagner Fine Arts, Inc","Lois Wagner Fine Arts, Inc",0,0,,Candidate,
29445,Brand X Projects,Brand X Projects,0,0,,Candidate,
29447,Union Printmakers,Union Printmakers,1977,2177,founded 1977,Verified,American
29461,Island Press,Island Press,0,0,,Candidate,
29468,Christo and Jeanne-Claude,Christo and Jeanne-Claude,0,0,,Verified,American
29473,United States Geological Survey,United States Geological Survey,0,0,,Candidate,
29474,North American Maps,North American Maps,0,0,,Candidate,
29475,Department of Army Corps of Engineers,Department of Army Corps of Engineers,0,0,,Candidate,
29476,California State Land Division,California State Land Division,0,0,,Candidate,American
29477,URS/The Ken R. White Company,URS/The Ken R. White Company,0,0,,Candidate,
29480,"Bryan & Murphy Associates, Inc.","Bryan & Murphy Associates, Inc.",0,0,,Candidate,
29484,Rand McNally & Co.,Rand McNally & Co.,0,0,,Candidate,
29485,Phillips 66,Phillips 66,0,0,,Candidate,
29487,Rose Manufacturing Company,Rose Manufacturing Company,0,0,,Candidate,
29488,Foresight Industries,Foresight Industries,0,0,,Candidate,
29496,Kelpra Studio,Kelpra Studio,0,0,,Candidate,
29497,Marlborough AG Shellenberg FL,Marlborough AG Shellenberg FL,0,0,,Candidate,
29532,St. Paul Fire and Marine Insurance Co.,St. Paul Fire and Marine Insurance Co.,0,0,,Candidate,
29547,Blue Heron Press,Blue Heron Press,0,0,,Candidate,
29621,E. Gruet Jeune,E. Gruet Jeune,1891,1904,"founded Paris, France 1891-closed 1904",Verified,French
29652,Komar & Melamid,Komar & Melamid,0,0,,Verified,American
29871,Joseph K. Davison's Sons,Joseph K. Davison's Sons,0,0,,Candidate,American
29942,"Gebbie and Hudson Co., Ltd.","Gebbie and Hudson Co., Ltd.",0,0,,Candidate,
29957,"Collins, Dear and Company","Collins, Dear and Company",0,0,,Candidate,
30040,Wingate Studio,Wingate Studio,0,0,,Candidate,
30100,Red Bird Mission,Red Bird Mission,1921,2121,founded 1921,Verified,American
30134,River House Editions,River House Editions,0,0,,Candidate,
30135,Paulson Press,Paulson Press,0,0,,Candidate,
30139,Lococo Fine Art Publisher,Lococo Fine Art Publisher,0,0,,Candidate,
30151,Coeur Noir,Coeur Noir,0,0,,Candidate,
30240,Uhuru,Uhuru,0,0,,Candidate,
30523,Asco,Asco,0,0,,Provisional,
30555,Robert Blackburn Printmaking Workshop,Robert Blackburn Printmaking Workshop,0,0,,Candidate,
30556,Cooper Union School of Art,Cooper Union School of Art,0,0,,Candidate,
30563,Bent Fish Editions,Bent Fish Editions,0,0,,Candidate,
